Undergraduate Admissions,+65 6516 1010
Student Service Centre,6516 1177
Campus Security,6874 1616
Data Protection,+65 6776 2835
Enterprise,+65 65167175
IT Care, 6516 2080
Libraries,65162028
Whistle Blowing,+65 6516 6209
